km_inicio,km_fin,s_inicio_km,s_fin_km,longitud_traza_km,factor_local,metodo_calibracion,elev_min_m,elev_mean_m,elev_max_m,desnivel_local_m,elev_inicio_m,elev_fin_m,desnivel_neto_m,pendiente_neta_pct,pendiente_media_abs_pct,pendiente_max_abs_pct,n_muestras,buffer_m,pendiente_terreno_media_pct,pendiente_terreno_p90_pct,relieve_local_m,n_celdas_pendiente,n_celdas_elevacion,buffer_hidrologia_m,drenaje_secundario_50m,drenaje_principal_50m,n_drenajes_secundarios_50m,n_drenajes_principales_50m,acumulacion_max_50m_celdas,area_aportante_max_50m_km2,latitud_centro,longitud_centro,temp_media_2001_2025_c,dias_min_bajo_0c_anuales,dias_congelamiento_deshielo_anuales,precipitacion_anual_media_mm,precipitacion_diaria_p95_mm,viento_medio_ms,viento_p95_ms,fraccion_horas_nieve_gt0pct,fraccion_horas_nieve_ge10pct,fraccion_horas_nieve_ge50pct,nieve_profundidad_p95_m,cobertura_nieve_media_pct,metodo_clima
0,1,0.0,0.912141,0.910406,0.910406,solo_puntos_confianza_alta,1077.381591796875,1081.650634765625,1089.25048828125,11.868896484375,1077.771728515625,1089.0753173828125,11.3035888671875,1.2395631562726894,1.3274061414930556,5.718587239583333,32,250.0,2.644601583480835,3.72137975692749,22.0657958984375,781,781,50.0,1,0,1,0,4961.0,3.9148416243987545,-29.505851342110084,-68.58199841872907,15.705271535808922,35.67326563582408,35.27479253934354,429.312945512681,6.536419950585133,1.5539653921205003,3.0293519511364684,0.2521160793750896,0.0386074111858669,0.0069396470010506,0.0062514054108372,1.5195721026068645,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
1,2,0.912141,1.824281,0.912137,0.912137,solo_puntos_confianza_alta,1088.3267822265625,1103.5521240234375,1119.5718994140625,31.2451171875,1089.0753173828125,1119.27197265625,30.1966552734375,3.3034919334830306,3.355183919270833,6.02294921875,32,250.0,3.8557260036468506,4.739120006561279,46.745361328125,781,781,50.0,0,0,0,0,221.0,0.174396290867189,-29.49777801851214,-68.58388206536405,15.674230480646624,36.719174986951145,36.30642313575293,430.06587359146886,6.548958986630307,1.5510283016652882,3.023893483583453,0.2534387155950474,0.0391985086736245,0.0071923386118238,0.0063889288583632,1.5501245566709023,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
2,3,1.824281,2.736421,0.912136,0.912136,solo_puntos_confianza_alta,1118.27001953125,1127.823486328125,1134.0606689453125,15.7906494140625,1119.27197265625,1133.6162109375,14.34423828125,1.569363812342261,1.726535373263889,5.084635416666667,32,250.0,4.104226112365723,4.792759895324707,34.5469970703125,780,780,50.0,0,0,0,0,755.0,0.5957882335055553,-29.48970038044209,-68.58579620547462,15.604304376068765,38.08569481163065,37.6517712621982,429.7069966773941,6.552903583827587,1.5552612853445014,3.026326916019352,0.2579004113736383,0.0396797595379161,0.0074784693538149,0.0065346794216153,1.579823431657895,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
3,4,2.736421,3.648561,0.912091,0.912091,solo_puntos_confianza_alta,1131.64404296875,1143.0380859375,1159.623046875,27.97900390625,1133.6162109375,1159.623046875,26.0068359375,2.84528711069814,3.0335422092013897,8.591715494791668,32,250.0,5.350176334381104,6.927840709686279,51.575439453125,782,782,50.0,0,0,0,0,797.0,0.6289314200052021,-29.48168407532236,-68.58800008166426,15.539634271709504,39.42079506648033,38.96669783965682,429.4731336286424,6.558117260387304,1.559410030244509,3.028735101425572,0.262386279651304,0.0401677805487062,0.0077564760259508,0.0066847076725304,1.6093031835024685,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
4,5,3.648561,4.560701,0.91214,0.91214,solo_puntos_confianza_alta,1157.955810546875,1172.3863525390625,1185.042724609375,27.0869140625,1159.623046875,1185.042724609375,25.419677734375,2.7808255939550954,2.968505859375,8.249918619791668,32,250.0,6.520561695098877,7.754977226257324,57.336181640625,780,780,50.0,0,0,0,0,799.0,0.6305096669813758,-29.47359003605531,-68.58982240586944,15.481868950190076,40.69265285284047,40.2200005030323,428.637700393115,6.554136320707316,1.563687331733277,3.031807382543571,0.2668517138716805,0.0406009143023442,0.0080241859405067,0.0068219246141255,1.63692838694901,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
5,6,4.560701,5.472841,0.91214,0.91214,solo_puntos_confianza_alta,1182.745361328125,1193.165283203125,1203.43359375,20.688232421875,1185.042724609375,1201.4295654296875,16.3868408203125,1.792661289378685,2.0961235894097228,7.583821614583333,32,250.0,6.681859970092773,8.17459487915039,51.5302734375,779,779,50.0,0,0,0,0,367.0,0.2896083201278659,-29.46549567845537,-68.59164480174526,15.429668368696452,41.92255028568386,41.43252214983861,427.62565729034736,6.547117171037333,1.5679726081766376,3.035134852447831,0.2713225470593928,0.0410155679878188,0.0082834790283892,0.0069562659301292,1.6636939373988195,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
6,7,5.472841,6.384982,0.911714,0.911714,solo_puntos_confianza_alta,1200.2393798828125,1204.704833984375,1209.785888671875,9.5465087890625,1201.4295654296875,1208.4703369140625,7.040771484375,0.7708134118639548,2.414306640625,8.571370442708332,32,250.0,6.424505710601807,10.06905746459961,46.99951171875,781,781,50.0,0,0,0,0,465.0,0.3669424219603751,-29.45741878739325,-68.59353052872015,15.383206753780424,43.110566235481926,42.604356120591945,426.4975049811465,6.537899951037533,1.5722435456137482,3.038663572234259,0.2758008645365613,0.0414164078091642,0.0085339610195348,0.0070891365046964,1.689694733144927,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
7,8,6.384982,7.297122,0.895151,0.895151,solo_puntos_confianza_alta,1208.4703369140625,1219.533447265625,1238.7843017578125,30.31396484375,1208.4703369140625,1235.7647705078125,27.29443359375,3.0461429454994997,4.305167410954772,24.52041946405985,31,250.0,7.506031036376953,13.979642868041992,43.21435546875,762,762,50.0,0,0,0,0,994.0,0.7843887471583072,-29.44980380167879,-68.5961081752243,15.346733922918157,44.21372375772854,43.69337929763629,425.91668204990486,6.535400892545844,1.576126162085613,3.041739578369412,0.2801708815861623,0.0418386291339299,0.0087621771283203,0.0072311940631888,1.7150120102727235,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
8,9,7.297122,8.209262,0.910271,0.910271,solo_puntos_confianza_alta,1229.3814697265625,1244.482666015625,1258.1456298828125,28.76416015625,1235.7647705078125,1255.735595703125,19.9708251953125,2.1892617860134136,2.644029405381944,7.47802734375,32,250.0,9.044997215270996,15.632360458374023,56.817138671875,777,777,50.0,0,0,0,0,231.0,0.1822875257480573,-29.4427042379227,-68.59992067305832,15.324933490228752,45.21780554639352,44.68610917705057,426.2486833275027,6.544371445174012,1.5794910978283114,3.044132427161804,0.2845049046273424,0.0423127245082446,0.0089620365496428,0.007393586252167,1.7401421729193556,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
9,10,8.209262,9.121402,0.91214,0.91214,solo_puntos_confianza_alta,1253.7095947265625,1263.5340576171875,1273.0960693359375,19.386474609375,1255.735595703125,1269.63525390625,13.899658203125,1.5203042204208668,2.3954264322916665,8.027750651041666,32,250.0,7.589049816131592,10.06122875213623,49.1865234375,781,781,50.0,0,0,0,0,595.0,0.4695284754116627,-29.43448189061456,-68.60057393663813,15.286411716800078,46.29860741557225,45.75292348284194,423.4638928590474,6.511250220795642,1.5848524619589828,3.0508572926672684,0.2890437713627922,0.0425587226887059,0.0092005849542355,0.0074852329533849,1.7619192487053503,ERA5-Land ARCO 2001-2025; interpolacion bilineal en centro de segmento
