km_inicio,km_fin,pendiente_media_abs_pct_norm,pendiente_terreno_p90_pct_norm,n_drenajes_principales_50m_norm,area_aportante_max_50m_km2_norm,precipitacion_diaria_p95_mm_norm,viento_p95_ms_norm,fraccion_horas_nieve_ge50pct_norm,subindice_topografia,subindice_hidrologia,subindice_clima,indice_exposicion,ranking_exposicion,clase_exposicion
0,1,0.0,0.0,0.0,0.3646445113572697,0.8302299037897708,0.0,0.0,0.0,0.18232225567863486,0.2767433012632569,15.302185231396393,113,muy_baja
1,2,0.27599394402973526,0.0,0.0,0.03451291015965688,0.8332850919261755,0.0,0.0,0.13799697201486763,0.01725645507982844,0.2777616973087252,14.433837480114043,118,muy_baja
2,3,0.0,0.0006419486548060672,0.0,0.10522367366251106,0.8342462093929892,0.0,0.0,0.0003209743274030336,0.05261183683125553,0.2780820697976631,11.033829365210721,128,muy_baja
3,4,0.20747197523487157,0.04710032771421218,0.0,0.10996436543733,0.8355165433098001,0.0,0.0,0.12728615147454186,0.054982182718665,0.27850551443660004,15.359128287660232,111,muy_baja
4,5,0.19361674877069948,0.06509843886871892,0.0,0.11018770002895954,0.834546570846349,0.0,0.0,0.1293575938197092,0.05509385001447977,0.2781821902821163,15.421121137210179,110,muy_baja
5,6,0.007766006132728225,0.07422912649749314,0.0,0.056095186167836264,0.8328363259182601,0.0,0.0,0.04099756631511068,0.028047593083918132,0.27761210863942004,11.555242267948296,127,muy_baja
6,7,0.07555114849414807,0.11545176327856506,0.0,0.06952592130871893,0.8305905120381046,0.0,0.0,0.09550145588635656,0.034762960654359465,0.27686350401270154,13.570930685113918,121,muy_baja
7,8,0.47837671073853183,0.20054430768964498,0.0,0.13098563077955103,0.8299816060720894,0.0005021523521333085,0.0010204470277982462,0.33946050921408844,0.06549281538977551,0.277168068484007,22.737379769595698,85,baja
8,9,0.12449087125195396,0.2365066842766657,0.0,0.036057344340222085,0.8321673184241262,0.0012123853896290197,0.0026452702036855362,0.18049877776430984,0.018028672170111042,0.2786749913391469,15.906748042452259,109,muy_baja
9,10,0.07152894302217154,0.1152814140867573,0.0,0.08621466276093996,0.8240971947384271,0.0032084252856233683,0.00458462824739624,0.09340517855446442,0.04310733138046998,0.2772967494238156,13.793641978625,120,muy_baja
