progresiva_km,elevacion_m,toponimo,desvio_eje_m,fuente
0.5,1074.91,Garita Portal Guandacol,394,google_earth
2.5,1098.50,,492,google_earth
7.5,1197.48,,112,google_earth
20.5,1375.59,Guandacol,373,google_earth
21.5,1409.98,,265,google_earth
24.5,1488.59,,36,google_earth
25.5,1436.51,,273,google_earth
30.5,1479.66,,188,google_earth
31.5,1542.20,,18,google_earth
35.5,1678.51,,73,google_earth
40.5,1802.96,,50,google_earth
42.5,1845.30,,354,google_earth
46.5,1818.14,,583,google_earth
46.5,1832.76,,468,google_earth
52.5,1916.13,,233,google_earth
55.5,2039.81,,448,google_earth
59.5,2174.78,,453,google_earth
64.5,2306.00,,152,google_earth
71.5,2526.53,,386,google_earth
79.5,2789.68,,240,google_earth
89.5,3113.94,,474,google_earth
99.5,3443.92,Refugio El Leoncito,388,google_earth
100.5,3485.40,,348,google_earth
110.5,3863.95,,220,google_earth
113.5,3985.33,Paso del Leoncito,180,google_earth
129.5,3672.97,,384,google_earth
