segmento_id,km_inicio,km_fin,lat_centro,lon_centro,lat_inicio,lon_inicio,lat_fin,lon_fin,long_traza_m,fuente
S0000,0,1,-29.507370,-68.576901,-29.509005,-68.581076,-29.505376,-68.576793,1028,openstreetmap+puntos_control
S0001,1,2,-29.502752,-68.581155,-29.505376,-68.576793,-29.499027,-68.583105,1028,openstreetmap+puntos_control
S0002,2,3,-29.495126,-68.580653,-29.499027,-68.583105,-29.494507,-68.583937,1028,openstreetmap+puntos_control
S0003,3,4,-29.492962,-68.579152,-29.494507,-68.583937,-29.489740,-68.577988,1028,openstreetmap+puntos_control
S0004,4,5,-29.489442,-68.583261,-29.489740,-68.577988,-29.487045,-68.586587,1028,openstreetmap+puntos_control
S0005,5,6,-29.482524,-68.587811,-29.487045,-68.586587,-29.477964,-68.588838,1028,openstreetmap+puntos_control
S0006,6,7,-29.473403,-68.589865,-29.477964,-68.588838,-29.468842,-68.590891,1028,openstreetmap+puntos_control
S0007,7,8,-29.464281,-68.591918,-29.468842,-68.590891,-29.459720,-68.592945,1028,openstreetmap+puntos_control
S0008,8,9,-29.455166,-68.592860,-29.459720,-68.592945,-29.450617,-68.591768,1028,openstreetmap+puntos_control
S0009,9,10,-29.446068,-68.590676,-29.450617,-68.591768,-29.441518,-68.589584,1028,openstreetmap+puntos_control
S0010,10,11,-29.436969,-68.588492,-29.441518,-68.589584,-29.432420,-68.587400,1028,openstreetmap+puntos_control
S0011,11,12,-29.427871,-68.586308,-29.432420,-68.587400,-29.424243,-68.588791,1028,openstreetmap+puntos_control
S0012,12,13,-29.420568,-68.592010,-29.424243,-68.588791,-29.417306,-68.595511,1028,openstreetmap+puntos_control
S0013,13,14,-29.413661,-68.598608,-29.417306,-68.595511,-29.409053,-68.597906,1028,openstreetmap+puntos_control
S0014,14,15,-29.404444,-68.597203,-29.409053,-68.597906,-29.399836,-68.596501,1028,openstreetmap+puntos_control
S0015,15,16,-29.395228,-68.595799,-29.399836,-68.596501,-29.390620,-68.595096,1028,openstreetmap+puntos_control
S0016,16,17,-29.386012,-68.594394,-29.390620,-68.595096,-29.381403,-68.593692,1028,openstreetmap+puntos_control
S0017,17,18,-29.376795,-68.592990,-29.381403,-68.593692,-29.372356,-68.593748,1028,openstreetmap+puntos_control
S0018,18,19,-29.370849,-68.597921,-29.372356,-68.593748,-29.369584,-68.597626,1028,openstreetmap+puntos_control
S0019,19,20,-29.367352,-68.596958,-29.369584,-68.597626,-29.363482,-68.599769,1028,openstreetmap+puntos_control
S0020,20,21,-29.359868,-68.601233,-29.363482,-68.599769,-29.359767,-68.602160,929,openstreetmap+puntos_control
S0021,21,22,-29.359627,-68.602689,-29.359767,-68.602160,-29.358953,-68.605190,929,openstreetmap+puntos_control
