km_inicio,km_fin,elev_min_m,elev_mean_m,elev_max_m,desnivel_local_m
0,1,1077.381591796875,1081.650634765625,1089.25048828125,11.868896484375
1,2,1088.3267822265625,1103.5521240234375,1119.5718994140625,31.2451171875
2,3,1118.27001953125,1127.823486328125,1134.0606689453125,15.7906494140625
3,4,1131.64404296875,1143.0380859375,1159.623046875,27.97900390625
4,5,1157.955810546875,1172.3863525390625,1185.042724609375,27.0869140625
5,6,1182.745361328125,1193.165283203125,1203.43359375,20.688232421875
6,7,1200.2393798828125,1204.704833984375,1209.785888671875,9.5465087890625
7,8,1208.4703369140625,1219.533447265625,1238.7843017578125,30.31396484375
8,9,1229.3814697265625,1244.482666015625,1258.1456298828125,28.76416015625
9,10,1253.7095947265625,1263.5340576171875,1273.0960693359375,19.386474609375
10,11,1258.4722900390625,1263.2127685546875,1271.4935302734375,13.021240234375
11,12,1266.7923583984375,1278.310546875,1289.5462646484375,22.75390625
12,13,1287.9853515625,1301.373046875,1315.7645263671875,27.7791748046875
13,14,1314.26953125,1324.01953125,1331.9437255859375,17.6741943359375
14,15,1331.1434326171875,1344.7247314453125,1358.7548828125,27.6114501953125
15,16,1347.2257080078125,1357.77685546875,1363.7598876953125,16.5341796875
16,17,1348.0760498046875,1357.7603759765625,1368.3740234375,20.2979736328125
17,18,1345.2061767578125,1352.7362060546875,1363.4866943359375,18.280517578125
18,19,1341.222412109375,1348.4600830078125,1355.392578125,14.170166015625
19,20,1351.6728515625,1357.9351806640625,1366.74462890625,15.07177734375
20,21,1365.937255859375,1377.24072265625,1399.802734375,33.865478515625
21,22,1393.492919921875,1415.0921630859375,1429.908447265625,36.41552734375
22,23,1417.100341796875,1439.5384521484375,1460.326416015625,43.22607421875
23,24,1458.337646484375,1483.5802001953125,1503.1593017578125,44.8216552734375
24,25,1432.9859619140625,1471.884033203125,1506.197021484375,73.2110595703125
25,26,1431.5550537109375,1440.9129638671875,1453.48095703125,21.9259033203125
26,27,1450.8997802734375,1459.8868408203125,1465.8297119140625,14.929931640625
27,28,1463.44287109375,1475.5032958984375,1484.5396728515625,21.0968017578125
28,29,1479.7607421875,1499.6165771484375,1522.4267578125,42.666015625
