km_inicio,km_fin,buffer_hidrologia_m,drenaje_secundario_50m,drenaje_principal_50m,n_drenajes_secundarios_50m,n_drenajes_principales_50m,acumulacion_max_50m_celdas,area_aportante_max_50m_km2
0,1,50.0,1,0,1,0,4961.0,3.9148416243987545
1,2,50.0,0,0,0,0,221.0,0.17439629086718902
2,3,50.0,0,0,0,0,755.0,0.5957882335055553
3,4,50.0,0,0,0,0,797.0,0.6289314200052021
4,5,50.0,0,0,0,0,799.0,0.6305096669813758
5,6,50.0,0,0,0,0,367.0,0.28960832012786597
6,7,50.0,0,0,0,0,465.0,0.36694242196037513
7,8,50.0,0,0,0,0,994.0,0.7843887471583072
8,9,50.0,0,0,0,0,231.0,0.18228752574805732
9,10,50.0,0,0,0,0,595.0,0.46952847541166276
10,11,50.0,1,0,1,0,9631.0,7.600048313764242
11,12,50.0,0,0,0,0,268.0,0.21148509480726996
12,13,50.0,0,0,0,0,18.0,0.014204222785562907
13,14,50.0,0,0,0,0,49.0,0.03866705091625458
14,15,50.0,0,0,0,0,49.0,0.03866705091625458
15,16,50.0,0,0,0,0,214.0,0.16887242645058123
16,17,50.0,0,0,0,0,1553.0,1.2255087769988442
17,18,50.0,0,0,0,0,336.0,0.2651454919971743
18,19,50.0,0,0,0,0,657.0,0.5184541316730461
19,20,50.0,0,0,0,0,203.0,0.16019206808162612
20,21,50.0,0,0,0,0,83.0,0.06549724951120674
21,22,50.0,0,0,0,0,1011.0,0.7978038464557833
22,23,50.0,0,0,0,0,866.0,0.6833809406831932
23,24,50.0,0,0,0,0,411.0,0.3243297536036864
24,25,50.0,0,0,0,0,172.0,0.13572923995093444
25,26,50.0,1,0,1,0,3040.0,2.3989354037839576
26,27,50.0,0,0,0,0,591.0,0.46637198145931547
27,28,50.0,0,0,0,0,1031.0,0.8135863162175199
28,29,50.0,0,0,0,0,1031.0,0.8135863162175199
29,30,50.0,0,0,0,0,697.0,0.5500190711965193
30,31,50.0,0,0,0,0,654.0,0.5160867612087856
31,32,50.0,0,0,0,0,60.0,0.04734740928520969
32,33,50.0,0,0,0,0,99.0,0.07812322532059598
33,34,50.0,0,0,0,0,73.0,0.05760601463033846
34,35,50.0,0,0,0,0,320.0,0.252519516187785
35,36,50.0,0,0,0,0,214.0,0.16887242645058123
36,37,50.0,0,0,0,0,274.0,0.21621983573579093
37,38,50.0,0,0,0,0,225.0,0.17755278481953635
38,39,50.0,0,0,0,0,88.0,0.06944286695164088
39,40,50.0,0,0,0,0,21.0,0.016571593249823394
40,41,50.0,1,0,1,0,5579.0,4.402519940036415
41,42,50.0,0,0,0,0,908.0,0.71652412718284
42,43,50.0,0,0,0,0,1541.0,1.2160392951418022
43,44,50.0,0,0,0,0,993.0,0.7835996236702204
44,45,50.0,0,0,0,0,198.0,0.15624645064119197
45,46,50.0,0,0,0,0,1288.0,1.0163910526558346
46,47,50.0,1,1,1,1,19829.0,15.647529645273716
47,48,50.0,1,1,1,1,19615.0,15.478657218823136
48,49,50.0,1,1,1,1,10192.0,8.042746590580952
49,50,50.0,1,0,1,0,6906.0,5.449686808727636
50,51,50.0,0,0,0,0,32.0,0.025251951618778502
51,52,50.0,0,0,0,0,480.0,0.3787792742816775
52,53,50.0,0,0,0,0,549.0,0.4332287949596687
53,54,50.0,1,1,1,1,16030.0,12.649649514031855
54,55,50.0,0,0,0,0,1053.0,0.83094703295543
55,56,50.0,1,1,1,1,18497.0,14.596417159142062
56,57,50.0,1,0,1,0,4439.0,3.50291916361743
57,58,50.0,1,0,1,0,2998.0,2.365792217284311
58,59,50.0,0,0,0,0,888.0,0.7007416574211034
59,60,50.0,1,1,3,3,94543.0,74.60610193419299
60,61,50.0,1,1,1,1,74265.0,58.604255842768296
61,62,50.0,1,1,2,1,72241.0,57.00706990288056
62,63,50.0,1,1,2,2,67914.0,53.59253256992885
63,64,50.0,1,1,1,1,23496.0,18.541245476088115
64,65,50.0,1,1,2,1,14276.0,11.265526915927559
65,66,50.0,1,1,1,1,14276.0,11.265526915927559
66,67,50.0,0,0,0,0,194.0,0.15308995668884468
67,68,50.0,0,0,0,0,109.0,0.08601446020146428
68,69,50.0,1,1,1,1,37391.0,29.506116343054593
69,70,50.0,1,1,1,1,36700.0,28.960832012786597
70,71,50.0,1,1,3,1,34117.0,26.92252604305832
71,72,50.0,1,1,3,1,33151.0,26.16023275356644
72,73,50.0,1,1,1,1,59596.0,47.02860339602261
73,74,50.0,0,0,0,0,531.0,0.41902457217410577
74,75,50.0,1,0,1,0,3770.0,2.974995550087342
75,76,50.0,0,0,0,0,936.0,0.7386195848492711
76,77,50.0,0,0,0,0,184.0,0.14519872180797638
77,78,50.0,0,0,0,0,192.0,0.15151170971267103
78,79,50.0,0,0,0,0,325.0,0.25646513362821916
79,80,50.0,0,0,0,0,1225.0,0.9666762729063645
80,81,50.0,0,0,0,0,1225.0,0.9666762729063645
81,82,50.0,1,1,1,1,169490.0,133.74853999583652
82,83,50.0,1,1,1,1,167014.0,131.79467023933353
83,84,50.0,1,1,3,3,164589.0,129.88104578072296
84,85,50.0,1,1,1,1,114802.0,90.59295467934405
85,86,50.0,1,1,2,1,104049.0,82.10750981194639
86,87,50.0,1,1,1,1,103441.0,81.62772273118959
87,88,50.0,1,1,3,1,98404.0,77.65290772169624
88,89,50.0,1,1,3,1,88840.0,70.10573068163382
89,90,50.0,1,1,1,1,81419.0,64.24964527654147
90,91,50.0,1,1,1,1,77905.0,61.47666533940435
91,92,50.0,0,0,0,0,71.0,0.056027767654164805
92,93,50.0,0,0,0,0,34.0,0.02683019859495216
93,94,50.0,0,0,0,0,1354.0,1.0684732028695654
94,95,50.0,0,0,0,0,1267.0,0.9998194594060114
95,96,50.0,0,0,0,0,44.0,0.03472143347582044
96,97,50.0,0,0,0,0,51.0,0.040245297892428235
97,98,50.0,1,1,1,1,31421.0,24.79504911917623
98,99,50.0,1,1,1,1,31254.0,24.66326549666573
99,100,50.0,1,1,1,1,28090.0,22.166478780359004
100,101,50.0,0,0,0,0,615.0,0.48531094517339934
101,102,50.0,1,1,1,1,13702.0,10.81257003376572
102,103,50.0,0,0,0,0,1053.0,0.83094703295543
103,104,50.0,1,1,1,1,15603.0,12.31269378461878
104,105,50.0,1,1,1,1,13202.0,10.418008289722305
105,106,50.0,1,0,1,0,4109.0,3.242508412548777
106,107,50.0,1,0,1,0,2581.0,2.0367277227521035
107,108,50.0,0,0,0,0,1195.0,0.9430025682637597
108,109,50.0,0,0,0,0,1937.0,1.5285321964241863
109,110,50.0,0,0,0,0,1363.0,1.0755753142623468
110,111,50.0,0,0,0,0,2126.0,1.6776765356725967
111,112,50.0,0,0,0,0,1125.0,0.8877639240976817
112,113,50.0,0,0,0,0,1019.0,0.804116834360478
113,114,50.0,0,0,0,0,175.0,0.13809661041519494
114,115,50.0,0,0,0,0,775.0,0.6115707032672919
115,116,50.0,0,0,0,0,1892.0,1.4930216394602789
116,117,50.0,0,0,0,0,2399.0,1.8931072479203008
117,118,50.0,0,0,0,0,875.0,0.6904830520759747
118,119,50.0,0,0,0,0,1900.0,1.4993346273649735
119,120,50.0,0,0,0,0,247.0,0.19491350155744658
120,121,50.0,0,0,0,0,4.0,0.003156493952347313
121,122,50.0,0,0,0,0,4.0,0.003156493952347313
122,123,50.0,0,0,0,0,4.0,0.003156493952347313
