change_event_id,segment_id,baseline_snapshot_at_utc,current_snapshot_at_utc,metric_name,baseline_value,current_value,delta_abs,delta_pct,change_direction,change_class,confidence,is_simulated,simulation_scenario_id,fuente,source_version
chg_demo_change_control_v1_seg_000_001_demo_surface_condition_index,seg_000_001,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,65.000,63.000,-2.000,-3.076923,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_001_002_demo_surface_condition_index,seg_001_002,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,73.500,72.500,-1.000,-1.360544,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_002_003_demo_surface_condition_index,seg_002_003,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,71.500,71.500,0.000,0.000000,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_003_004_demo_surface_condition_index,seg_003_004,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,69.500,70.500,1.000,1.438849,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_004_005_demo_surface_condition_index,seg_004_005,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,67.500,69.500,2.000,2.962963,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_005_006_demo_surface_condition_index,seg_005_006,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,65.500,63.500,-2.000,-3.053435,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_006_007_demo_surface_condition_index,seg_006_007,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,74.000,73.000,-1.000,-1.351351,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_007_008_demo_surface_condition_index,seg_007_008,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,72.000,72.000,0.000,0.000000,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_008_009_demo_surface_condition_index,seg_008_009,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,70.000,71.000,1.000,1.428571,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_009_010_demo_surface_condition_index,seg_009_010,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,68.000,70.000,2.000,2.941176,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_010_011_demo_surface_condition_index,seg_010_011,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,66.000,64.000,-2.000,-3.030303,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_011_012_demo_surface_condition_index,seg_011_012,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,74.500,73.500,-1.000,-1.342282,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_012_013_demo_surface_condition_index,seg_012_013,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,72.500,72.500,0.000,0.000000,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_013_014_demo_surface_condition_index,seg_013_014,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,70.500,71.500,1.000,1.418440,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_014_015_demo_surface_condition_index,seg_014_015,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,68.500,70.500,2.000,2.919708,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_015_016_demo_surface_condition_index,seg_015_016,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,66.500,64.500,-2.000,-3.007519,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_016_017_demo_surface_condition_index,seg_016_017,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,75.000,74.000,-1.000,-1.333333,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_017_018_demo_surface_condition_index,seg_017_018,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,73.000,73.000,0.000,0.000000,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_018_019_demo_surface_condition_index,seg_018_019,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,71.000,72.000,1.000,1.408451,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_019_020_demo_surface_condition_index,seg_019_020,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,69.000,71.000,2.000,2.898551,stable,stable,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_020_021_demo_surface_condition_index,seg_020_021,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,67.000,55.000,-12.000,-17.910448,decrease,major,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_021_022_demo_surface_condition_index,seg_021_022,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,65.000,53.000,-12.000,-18.461538,decrease,major,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_022_023_demo_surface_condition_index,seg_022_023,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,73.500,61.500,-12.000,-16.326531,decrease,major,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_023_024_demo_surface_condition_index,seg_023_024,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,71.500,59.500,-12.000,-16.783217,decrease,major,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
chg_demo_change_control_v1_seg_024_025_demo_surface_condition_index,seg_024_025,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,demo_surface_condition_index,69.500,57.500,-12.000,-17.266187,decrease,major,0.0,true,demo_change_control_v1,simulation:deterministic_change_control_demo,v0.1
