segment_id,km_inicio,km_fin,observed_at_utc,ingested_at_utc,metric_name,metric_value,unit,evidence_type,fuente,source_version,uncertainty_lower,uncertainty_upper,quality_flag,is_simulated,simulation_scenario_id,notes
seg_000_001,0,1,2026-01-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,65.000,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,63.000,67.000,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_000_001,0,1,2026-02-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,63.000,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,60.000,66.000,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_001_002,1,2,2026-01-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,73.500,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,71.500,75.500,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_001_002,1,2,2026-02-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,72.500,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,69.500,75.500,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_002_003,2,3,2026-01-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,71.500,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,69.500,73.500,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_002_003,2,3,2026-02-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,71.500,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,68.500,74.500,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_003_004,3,4,2026-01-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,69.500,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,67.500,71.500,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_003_004,3,4,2026-02-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,70.500,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,67.500,73.500,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_004_005,4,5,2026-01-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,67.500,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,65.500,69.500,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_004_005,4,5,2026-02-01T00:00:00Z,2026-02-02T00:00:00Z,demo_surface_condition_index,69.500,simulated_index_0_100,simulated,simulation:deterministic_change_control_demo,v0.1,66.500,72.500,simulated_demo_only,true,demo_change_control_v1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
