segment_id,km_inicio,km_fin,metric_name,metric_value,spatial_lag_z,local_moran_i,p_sim,p_fdr_bh,significant_fdr,lisa_quadrant,lisa_cluster_fdr,permutations,weights_id,is_simulated,simulation_scenario_id,fuente,source_version,notes
seg_000_001,0,1,demo_surface_condition_index,-2.000000,0.0187878339,-0.0042032094,1.0000000000,1.0000000000,false,LH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_001_002,1,2,demo_surface_condition_index,-1.000000,0.0187878339,0.0003502675,0.8712000251,1.0000000000,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_002_003,2,3,demo_surface_condition_index,0.000000,0.2630296750,0.0686524206,0.6898999810,0.9927142859,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_003_004,3,4,demo_surface_condition_index,1.000000,0.5072715162,0.2553449727,0.4133999944,0.9311493039,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_004_005,4,5,demo_surface_condition_index,2.000000,0.1409087545,0.1050802357,1.0000000000,1.0000000000,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_005_006,5,6,demo_surface_condition_index,-2.000000,0.3851505956,-0.0861657933,0.4751999974,0.9311493039,false,LH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_006_007,6,7,demo_surface_condition_index,-1.000000,0.0187878339,0.0003502675,0.8723999858,1.0000000000,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_007_008,7,8,demo_surface_condition_index,0.000000,0.2630296750,0.0686524206,0.6904000044,0.9927142859,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_008_009,8,9,demo_surface_condition_index,1.000000,0.5072715162,0.2553449727,0.4133000076,0.9311493039,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_009_010,9,10,demo_surface_condition_index,2.000000,0.1409087545,0.1050802357,1.0000000000,1.0000000000,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_010_011,10,11,demo_surface_condition_index,-2.000000,0.3851505956,-0.0861657933,0.4763999879,0.9311493039,false,LH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_011_012,11,12,demo_surface_condition_index,-1.000000,0.0187878339,0.0003502675,0.8722000122,1.0000000000,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_012_013,12,13,demo_surface_condition_index,0.000000,0.2630296750,0.0686524206,0.6909000278,0.9927142859,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_013_014,13,14,demo_surface_condition_index,1.000000,0.5072715162,0.2553449727,0.4129999876,0.9311493039,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_014_015,14,15,demo_surface_condition_index,2.000000,0.1409087545,0.1050802357,1.0000000000,1.0000000000,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_015_016,15,16,demo_surface_condition_index,-2.000000,0.3851505956,-0.0861657933,0.4769999981,0.9311493039,false,LH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_016_017,16,17,demo_surface_condition_index,-1.000000,0.0187878339,0.0003502675,0.8747000098,1.0000000000,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_017_018,17,18,demo_surface_condition_index,0.000000,0.2630296750,0.0686524206,0.6926000118,0.9927142859,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_018_019,18,19,demo_surface_condition_index,1.000000,0.5072715162,0.2553449727,0.4151999950,0.9311493039,false,HH,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_019_020,19,20,demo_surface_condition_index,2.000000,-1.0803004511,-0.8056151402,0.2664000094,0.9311493039,false,HL,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
seg_020_021,20,21,demo_surface_condition_index,-12.000000,-0.9581795305,2.5366368894,0.2797999978,0.9311493039,false,LL,not_significant,9999,segment_neighbors_v0.1_r,true,demo_change_control_v1,simulation:pysal_spatial_statistics_demo,v0.1,SIMULATED DEMO - NOT OPERATIONAL EVIDENCE
