km_inicio,km_fin,indice_exposicion,ranking_exposicion,clase_exposicion,subindice_topografia,subindice_hidrologia,subindice_clima,n_peligros_campo,nivel_campo_max,campo_hidrologico,campo_topografico,campo_climatico,evidencia_modelada,peligros_campo
0,1,15.302185231396392,113,muy_baja,0.0,0.1823222556786348,0.2767433012632569,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
1,2,14.433837480114043,118,muy_baja,0.1379969720148676,0.0172564550798284,0.2777616973087252,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
2,3,11.03382936521072,128,muy_baja,0.000320974327403,0.0526118368312555,0.2780820697976631,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
3,4,15.359128287660232,111,muy_baja,0.1272861514745418,0.054982182718665,0.2785055144366,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
4,5,15.42112113721018,110,muy_baja,0.1293575938197092,0.0550938500144797,0.2781821902821163,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
5,6,11.555242267948296,127,muy_baja,0.0409975663151106,0.0280475930839181,0.27761210863942,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
6,7,13.570930685113918,121,muy_baja,0.0955014558863565,0.0347629606543594,0.2768635040127015,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
7,8,22.737379769595695,85,baja,0.3394605092140884,0.0654928153897755,0.277168068484007,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
8,9,15.90674804245226,109,muy_baja,0.1804987777643098,0.018028672170111,0.2786749913391469,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
9,10,13.793641978625,120,muy_baja,0.0934051785544644,0.0431073313804699,0.2772967494238156,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
10,11,19.18326066406578,98,baja,0.052765875203638,0.2468387358951348,0.2758932088232005,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
11,12,12.079128405304877,124,muy_baja,0.0660125838511121,0.0208417352623794,0.2755195330456547,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
12,13,13.499944440535325,122,muy_baja,0.1243654363999643,0.0003463616582341,0.2802865351578612,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
13,14,9.818573630758566,129,muy_baja,0.0057558118345716,0.003094633192202,0.2857067638959833,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
14,15,13.3502322540996,123,muy_baja,0.1091479504027392,0.003094633192202,0.2882643840280468,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
15,16,15.356558220651609,112,muy_baja,0.1519774647403726,0.016712809507761,0.2920064723714144,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
16,17,20.04687920849913,92,baja,0.2192607771926501,0.0909657392848516,0.2911798597774722,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
17,18,12.056434422129664,126,muy_baja,0.0505075189162688,0.0258392577713609,0.2853462559762601,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
18,19,14.969546046796722,114,muy_baja,0.1229528843140856,0.0468838492802382,0.2792496478095777,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
19,20,9.642329584424502,130,muy_baja,0.0,0.0158532968307205,0.2734165907020144,1,medio,1,0,0,1,arrastre_material_por_precipitaciones_y_escorrentias
20,21,17.640796604161295,103,baja,0.2491728838056791,0.0060354089731968,0.2740156053459628,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
21,22,41.28301731628621,45,alta,0.8943166687479487,0.0663564720477763,0.2778173786928614,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
22,23,43.61753499332766,43,alta,0.9676377499057104,0.0587735515414582,0.2821147483526612,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
23,24,32.23800288806991,67,media,0.6492996261486363,0.0311111223389285,0.2867293381545322,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
24,25,36.14430535546067,56,media,0.7791331193276909,0.0133959852010251,0.2918000561351042,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
25,26,28.686370962817254,73,media,0.4247169220188468,0.139796520530815,0.2960776863348556,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
26,27,24.73441943238909,77,media,0.4013726268583476,0.0428593849059937,0.2978005712073313,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
27,28,24.173270660875712,80,baja,0.3550473265089811,0.0673643256563862,0.302786467660904,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
28,29,33.495753794316656,63,media,0.6313284924741207,0.0673643256563862,0.3061797956989928,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
29,30,29.62340226924951,72,media,0.5296417350326005,0.0492562720378868,0.3098040610069979,2,alto,1,0,0,1,derrumbes_y_desprendimiento_de_material|erosion
30,31,26.1452405288749,75,media,0.4267592725941884,0.0467039342468141,0.3108940090252445,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
31,32,22.154590023963294,87,baja,0.3457151195439983,0.0040542922850068,0.3148682888898938,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
32,33,16.43266368383045,106,muy_baja,0.1653356491501821,0.0073937731313916,0.3202504882333397,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
33,34,12.057896624507586,125,muy_baja,0.0321208857699947,0.005178233003826,0.3244377799614068,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
34,35,14.76683250313274,116,muy_baja,0.0906322175604565,0.0246827067806696,0.3276900507528559,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
35,36,14.536991186563988,117,muy_baja,0.0876687923623389,0.016712809507761,0.3317281337268197,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
36,37,14.923980118245122,115,muy_baja,0.0894608549753207,0.0212915099452535,0.3369670386267793,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
37,38,16.210874826653885,108,muy_baja,0.1289393263391848,0.0175659627693394,0.3398209556910923,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
38,39,18.85489685227976,99,baja,0.2205997218807617,0.0064616192392219,0.3385855644484091,3,alto,1,1,1,1,barro_y_baja_adherencia|niebla_neblina|pendientes_pronunciadas
