lat,lon,elevacion_m,toponimo,fuente,fecha
-29.509906,-68.579747,1074.91,Garita Portal Guandacol,google_earth,2026-08
-29.498642,-68.583756,1098.50,,google_earth,2026-08
-29.463292,-68.592186,1197.48,,google_earth,2026-08
-29.386208,-68.624100,1351.01,,google_earth,2026-08
-29.394214,-68.625139,1358.18,,google_earth,2026-08
-29.378578,-68.613617,1345.28,Finca Guandacol,google_earth,2026-08
-29.363119,-68.600219,1375.59,Guandacol,google_earth,2026-08
-29.357767,-68.604403,1409.98,,google_earth,2026-08
-29.351728,-68.625786,1436.51,,google_earth,2026-08
-29.334561,-68.638797,1479.66,,google_earth,2026-08
-29.356769,-68.621519,1488.59,,google_earth,2026-08
-29.324533,-68.646581,1542.20,,google_earth,2026-08
-29.296422,-68.685444,1678.51,,google_earth,2026-08
-29.273867,-68.725067,1802.96,,google_earth,2026-08
-29.229956,-68.706117,1818.14,,google_earth,2026-08
-29.232767,-68.712628,1832.76,,google_earth,2026-08
-29.259858,-68.729542,1845.30,,google_earth,2026-08
-29.201025,-68.708017,1916.13,,google_earth,2026-08
-29.168586,-68.720736,2039.81,,google_earth,2026-08
-29.131261,-68.742431,2174.78,,google_earth,2026-08
-29.090689,-68.756231,2306.00,,google_earth,2026-08
-29.042064,-68.782433,2526.53,,google_earth,2026-08
-28.971903,-68.776433,2789.68,,google_earth,2026-08
-28.879328,-68.788967,3113.94,,google_earth,2026-08
-28.820311,-68.848597,3443.92,Refugio El Leoncito,google_earth,2026-08
-28.821950,-68.858011,3485.40,,google_earth,2026-08
-28.731242,-68.993339,3654.65,Salinas del Leoncito,google_earth,2026-08
-28.747728,-69.049461,3672.97,,google_earth,2026-08
-28.752028,-68.951553,3780.18,,google_earth,2026-08
-28.778289,-68.928267,3863.95,,google_earth,2026-08
-28.775108,-68.941892,3985.33,Paso del Leoncito,google_earth,2026-08
