km_inicio,km_fin,peligro,categoria,estacionalidad,nivel,fuente
0,20,arrastre_material_por_precipitaciones_y_escorrentias,hidrologico,noviembre-marzo_abril,medio,documento_operacional
20,30,derrumbes_y_desprendimiento_de_material,geologico,noviembre-marzo_abril,alto,documento_operacional
20,30,erosion,hidrologico,noviembre-marzo_abril,alto,documento_operacional
30,45,barro_y_baja_adherencia,hidrologico,noviembre-marzo_abril,alto,documento_operacional
30,45,pendientes_pronunciadas,topografico,noviembre-marzo_abril,alto,documento_operacional
30,45,niebla_neblina,climatico,invierno,medio,documento_operacional
45,60,cruces_de_cauces_y_crecidas,hidrologico,noviembre-marzo_abril,alto,documento_operacional
45,60,arrastre_de_material,hidrologico,noviembre-marzo_abril,alto,documento_operacional
60,90,vientos_intensos,climatico,todo_el_ano_mayor_incidencia_invernal,alto_medio,documento_operacional
60,90,material_particulado,operacional,todo_el_ano_mayor_incidencia_invernal,alto_medio,documento_operacional
60,90,niebla_neblina,climatico,invierno,alto,documento_operacional
60,90,condiciones_de_altura,altitudinal,permanente,alto,documento_operacional
90,100,acumulacion_y_lenguas_de_nieve,climatico,invierno,alto,documento_operacional
90,100,presencia_de_fauna,fauna,variable,alto,documento_operacional
90,100,condiciones_de_altura,altitudinal,permanente,alto,documento_operacional
100,120,nieve_y_viento_blanco,climatico,invierno,alto,documento_operacional
100,120,deshielo_y_barro,hidrologico,invierno_precipitaciones,alto,documento_operacional
100,120,pendientes_pronunciadas,topografico,variable,alto,documento_operacional
120,130,nieve_y_viento_blanco,climatico,invierno,alto,documento_operacional
120,130,vientos_intensos,climatico,todo_el_ano,alto,documento_operacional
120,130,condiciones_de_altura,altitudinal,permanente,alto,documento_operacional
